Name,S1223
Chord(mm),230
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
230.000000,0.000000
229.627400,0.289800
228.659100,1.136200
227.297500,2.385100
225.572500,3.785800
223.355300,5.175000
220.533200,6.561900
217.094700,7.994800
213.069700,9.466800
208.474300,10.966400
203.333800,12.482100
197.678100,14.004700
191.537100,15.522700
184.947600,17.024600
177.948700,18.501200
170.581800,19.943300
162.892900,21.337100
154.928000,22.675700
146.735400,23.947600
138.363400,25.150500
129.869500,26.277500
121.311200,27.326300
112.757500,28.296900
104.282000,29.170900
95.958300,29.925300
87.843900,30.523300
79.987100,30.928100
72.422400,31.109800
65.198100,31.061500
58.351000,30.695800
51.844300,29.985100
45.645800,28.966200
39.757800,27.659800
34.184900,26.116500
28.959300,24.375400
24.108600,22.471000
19.653500,20.421700
15.614700,18.262000
12.012900,16.019500
8.866500,13.726400
6.196200,11.421800
4.036500,9.110300
2.364400,6.794200
1.138500,4.528700
0.356500,2.375900
0.011500,0.409400
0.101200,-1.290300
0.607200,-2.576000
1.814700,-3.282100
3.951400,-3.565000
6.913800,-3.643200
10.642100,-3.523600
15.090300,-3.229200
20.210100,-2.764600
25.948600,-2.127500
32.246000,-1.294900
39.113800,-0.172500
46.639400,1.230500
54.832000,2.789900
63.647900,4.434400
73.025000,6.099600
82.901200,7.723400
93.193700,9.248300
103.819700,10.621400
114.678000,11.796700
125.669700,12.728200
136.684400,13.386000
147.604800,13.744800
158.313600,13.786200
168.691200,13.505600
178.618000,12.907600
187.976700,12.003700
196.650000,10.823800
204.534400,9.402400
211.521800,7.790100
217.517900,6.035200
222.393900,4.190600
225.986500,2.438000
228.316400,1.076400
229.597500,0.264500
230.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.356500,2.375900
1.138500,0.821008
2.364400,1.719660
4.036500,2.771527
6.196200,3.898771
8.866500,5.072920
12.012900,6.293313
15.614700,7.540194
19.653500,8.803295
24.108600,10.069610
28.959300,11.322977
34.184900,12.569237
39.757800,13.803681
45.645800,15.005731
51.844300,16.103157
58.351000,17.071064
65.198100,17.885593
72.422400,18.551195
79.987100,19.086188
87.843900,19.489496
95.958300,19.765422
104.282000,19.921170
112.757500,19.942863
121.311200,19.842568
129.869500,19.628256
138.363400,19.295833
146.735400,18.831918
154.928000,18.224406
162.892900,17.499740
170.581800,16.667504
177.948700,15.724560
184.947600,14.660431
191.537100,13.521025
197.678100,12.321577
203.333800,11.050472
208.474300,9.729846
213.069700,8.401935
217.094700,7.076930
220.533200,5.728203
223.355300,4.448297
225.572500,3.212882
227.297500,2.028474
228.659100,0.997707
229.627400,0.267326
230.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
230.000000,0.000000
